Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
Air Tractor,AT-802A,14,2.0,14.0,0.14285714285714285
CESSNA,182S,14,3.0,21.0,0.14285714285714285
Piper,PA-36-300,14,2.0,14.0,0.14285714285714285
CESSNA,182K,14,4.0,29.0,0.13793103448275862
Robinson,R22 Beta II,14,3.0,26.0,0.11538461538461539
Taylorcraft,F-19,14,2.0,18.0,0.1111111111111111
Boeing,747-200,14,206.0,1879.0,0.1096327833954231
Beech,B200,14,4.0,46.0,0.08695652173913043
MOONEY,M20,14,2.0,27.0,0.07407407407407407
CESSNA AIRCRAFT CO,162,14,1.0,16.0,0.0625
Cessna,310J,14,2.0,35.0,0.05714285714285714
AMERICAN CHAMPION AIRCRAFT,8GCBC,14,1.0,19.0,0.05263157894736842
Luscombe,8,14,1.0,19.0,0.05263157894736842
Brantly Helicopter,B-2B,14,1.0,22.0,0.045454545454545456
CESSNA,172D,14,1.0,23.0,0.043478260869565216
PIPER,PA-32-301,14,1.0,26.0,0.038461538461538464
BELL,OH-58A,14,0.0,22.0,0.0
Boeing,747,14,0.0,783.0,0.0
EMBRAER,EMB-145LR,14,0.0,714.0,0.0
Hiller,UH-12C,14,0.0,22.0,0.0
STINSON,108-3,14,0.0,23.0,0.0
Saab-scania Ab (saab),340B,14,0.0,306.0,0.0
Aero Commander,500S,13,23.0,35.0,0.6571428571428571
Cessna,T303,13,20.0,33.0,0.6060606060606061
BEECH,95-B55,13,18.0,31.0,0.5806451612903226
Beech,65,13,25.0,48.0,0.5208333333333334
Beech,35-C33,13,15.0,32.0,0.46875
Piper,PA-31-325,13,17.0,38.0,0.4473684210526316
North American,T-6G,13,10.0,24.0,0.4166666666666667
BELL,412,13,23.0,68.0,0.3382352941176471
Beech,E-55,13,12.0,36.0,0.3333333333333333
CESSNA,TU206G,13,11.0,34.0,0.3235294117647059
PIPER,PA-32R-301,13,9.0,28.0,0.32142857142857145
Mooney,M20,13,8.0,26.0,0.3076923076923077
Socata,TBM 700,13,12.0,40.0,0.3
BELL,212,13,13.0,48.0,0.2708333333333333
Beech,33,13,6.0,24.0,0.25
